tournament,date,venue,club,group,round,cycle,court,point_cap,pair_a,pair_a_p1,pair_a_p2,pair_b,pair_b_p1,pair_b_p2,score_a,score_b
T05,2026-05-30,Tallink,Aliris,A,7,1,C3,18,T05-02,P001,P043,T05-04,P050,P012,14,18
T05,2026-05-30,Tallink,Aliris,A,7,1,C4,18,T05-05,P023,P059,T05-07,P014,P011,14,18
T05,2026-05-30,Tallink,Aliris,A,7,1,C5,18,T05-06,P018,P054,T05-08,P042,P039,16,18
T05,2026-05-30,Tallink,Aliris,A,7,1,C6,18,T05-09,P009,P047,T05-11,P006,P019,16,18
T05,2026-05-30,Tallink,Aliris,B,7,1,C7,18,T05-13,P015,P057,T05-14,P056,P004,16,18
T05,2026-05-30,Tallink,Aliris,B,7,1,C8,18,T05-15,P005,P040,T05-20,P003,P007,14,18
T05,2026-05-30,Tallink,Aliris,B,7,1,C9,18,T05-16,P071,P049,T05-19,P070,P064,16,18
T05,2026-05-30,Tallink,Aliris,A,8,1,C1,18,T05-08,P042,P039,T05-12,P016,P062,18,8
T05,2026-05-30,Tallink,Aliris,B,8,1,C10,18,T05-16,P071,P049,T05-17,P022,P017,10,18
T05,2026-05-30,Tallink,Aliris,A,8,1,C2,18,T05-01,P020,P061,T05-05,P023,P059,18,17
T05,2026-05-30,Tallink,Aliris,A,8,1,C3,18,T05-02,P001,P043,T05-06,P018,P054,18,13
T05,2026-05-30,Tallink,Aliris,A,8,1,C4,18,T05-03,P041,P010,T05-09,P009,P047,18,10
T05,2026-05-30,Tallink,Aliris,A,8,1,C5,18,T05-04,P050,P012,T05-10,P072,P008,18,11
T05,2026-05-30,Tallink,Aliris,A,8,1,C6,18,T05-07,P014,P011,T05-11,P006,P019,18,16
T05,2026-05-30,Tallink,Aliris,B,8,1,C7,18,T05-13,P015,P057,T05-20,P003,P007,18,15
T05,2026-05-30,Tallink,Aliris,B,8,1,C8,18,T05-14,P056,P004,T05-19,P070,P064,18,8
T05,2026-05-30,Tallink,Aliris,B,8,1,C9,18,T05-15,P005,P040,T05-18,P045,P069,18,13
T05,2026-05-30,Tallink,Aliris,A,9,1,C1,18,T05-06,P018,P054,T05-10,P072,P008,8,18
T05,2026-05-30,Tallink,Aliris,B,9,1,C10,18,T05-15,P005,P040,T05-16,P071,P049,18,9
T05,2026-05-30,Tallink,Aliris,A,9,1,C2,18,T05-01,P020,P061,T05-07,P014,P011,18,16
T05,2026-05-30,Tallink,Aliris,A,9,1,C3,18,T05-02,P001,P043,T05-08,P042,P039,18,14
T05,2026-05-30,Tallink,Aliris,A,9,1,C4,18,T05-03,P041,P010,T05-11,P006,P019,18,13
T05,2026-05-30,Tallink,Aliris,A,9,1,C5,18,T05-04,P050,P012,T05-12,P016,P062,18,9
T05,2026-05-30,Tallink,Aliris,A,9,1,C6,18,T05-05,P023,P059,T05-09,P009,P047,18,14
T05,2026-05-30,Tallink,Aliris,B,9,1,C7,18,T05-13,P015,P057,T05-19,P070,P064,18,8
T05,2026-05-30,Tallink,Aliris,B,9,1,C8,18,T05-20,P003,P007,T05-18,P045,P069,18,6
T05,2026-05-30,Tallink,Aliris,B,9,1,C9,18,T05-14,P056,P004,T05-17,P022,P017,9,18
T05,2026-05-30,Tallink,Aliris,A,10,1,C1,18,T05-06,P018,P054,T05-12,P016,P062,18,12
T05,2026-05-30,Tallink,Aliris,B,10,1,C10,18,T05-14,P056,P004,T05-15,P005,P040,18,15
T05,2026-05-30,Tallink,Aliris,A,10,1,C2,18,T05-01,P020,P061,T05-09,P009,P047,16,18
T05,2026-05-30,Tallink,Aliris,A,10,1,C3,18,T05-02,P001,P043,T05-10,P072,P008,4,18
T05,2026-05-30,Tallink,Aliris,A,10,1,C4,18,T05-03,P041,P010,T05-07,P014,P011,18,16
T05,2026-05-30,Tallink,Aliris,A,10,1,C5,18,T05-04,P050,P012,T05-08,P042,P039,18,9
T05,2026-05-30,Tallink,Aliris,A,10,1,C6,18,T05-05,P023,P059,T05-11,P006,P019,18,12
T05,2026-05-30,Tallink,Aliris,B,10,1,C7,18,T05-13,P015,P057,T05-18,P045,P069,18,17
T05,2026-05-30,Tallink,Aliris,B,10,1,C8,18,T05-17,P022,P017,T05-19,P070,P064,18,12
T05,2026-05-30,Tallink,Aliris,B,10,1,C9,18,T05-16,P071,P049,T05-20,P003,P007,13,18
T05,2026-05-30,Tallink,Aliris,A,11,1,C1,18,T05-08,P042,P039,T05-10,P072,P008,18,11
T05,2026-05-30,Tallink,Aliris,B,11,1,C10,18,T05-14,P056,P004,T05-20,P003,P007,17,18
T05,2026-05-30,Tallink,Aliris,A,11,1,C2,18,T05-01,P020,P061,T05-11,P006,P019,18,14
T05,2026-05-30,Tallink,Aliris,A,11,1,C3,18,T05-02,P001,P043,T05-12,P016,P062,18,14
T05,2026-05-30,Tallink,Aliris,A,11,1,C4,18,T05-03,P041,P010,T05-05,P023,P059,18,14
T05,2026-05-30,Tallink,Aliris,A,11,1,C5,18,T05-04,P050,P012,T05-06,P018,P054,18,9
T05,2026-05-30,Tallink,Aliris,A,11,1,C6,18,T05-07,P014,P011,T05-09,P009,P047,18,14
T05,2026-05-30,Tallink,Aliris,B,11,1,C7,18,T05-13,P015,P057,T05-17,P022,P017,18,15
T05,2026-05-30,Tallink,Aliris,B,11,1,C8,18,T05-16,P071,P049,T05-18,P045,P069,7,18
T05,2026-05-30,Tallink,Aliris,B,11,1,C9,18,T05-15,P005,P040,T05-19,P070,P064,18,10
T06,2026-06-06,Tallink,Aliris,A,1,1,C1,18,T06-11,P009,P012,T06-12,P038,P004,11,18
T06,2026-06-06,Tallink,Aliris,B,1,1,C10,18,T06-17,P048,P022,T06-16,P003,P056,14,18
T06,2026-06-06,Tallink,Aliris,A,1,1,C2,18,T06-01,P041,P010,T06-02,P019,P020,7,18
T06,2026-06-06,Tallink,Aliris,A,1,1,C3,18,T06-03,P001,P042,T06-04,P016,P039,17,18
T06,2026-06-06,Tallink,Aliris,A,1,1,C4,18,T06-05,P002,P018,T06-06,P023,P059,8,18
T06,2026-06-06,Tallink,Aliris,A,1,1,C5,18,T06-07,P036,P030,T06-08,P014,P073,18,13
T06,2026-06-06,Tallink,Aliris,A,1,1,C6,18,T06-09,P043,P044,T06-10,P028,P021,9,18
T06,2026-06-06,Tallink,Aliris,B,1,1,C7,18,T06-13,P005,P040,T06-20,P045,P066,18,9
T06,2026-06-06,Tallink,Aliris,B,1,1,C8,18,T06-14,P065,P047,T06-19,P025,P074,18,17
T06,2026-06-06,Tallink,Aliris,B,1,1,C9,18,T06-15,P037,P007,T06-18,P075,P013,18,13
T06,2026-06-06,Tallink,Aliris,A,2,1,C1,18,T06-11,P009,P012,T06-02,P019,P020,14,18
T06,2026-06-06,Tallink,Aliris,B,2,1,C10,18,T06-18,P075,P013,T06-20,P045,P066,10,18
T06,2026-06-06,Tallink,Aliris,A,2,1,C2,18,T06-01,P041,P010,T06-04,P016,P039,13,18
T06,2026-06-06,Tallink,Aliris,A,2,1,C3,18,T06-03,P001,P042,T06-06,P023,P059,16,18
T06,2026-06-06,Tallink,Aliris,A,2,1,C4,18,T06-05,P002,P018,T06-08,P014,P073,17,18
T06,2026-06-06,Tallink,Aliris,A,2,1,C5,18,T06-07,P036,P030,T06-10,P028,P021,18,17
T06,2026-06-06,Tallink,Aliris,A,2,1,C6,18,T06-09,P043,P044,T06-12,P038,P004,8,18
T06,2026-06-06,Tallink,Aliris,B,2,1,C7,18,T06-13,P005,P040,T06-19,P025,P074,14,18
T06,2026-06-06,Tallink,Aliris,B,2,1,C8,18,T06-15,P037,P007,T06-16,P003,P056,18,12
T06,2026-06-06,Tallink,Aliris,B,2,1,C9,18,T06-17,P048,P022,T06-14,P065,P047,18,15
T06,2026-06-06,Tallink,Aliris,A,3,1,C1,18,T06-11,P009,P012,T06-04,P016,P039,17,18
T06,2026-06-06,Tallink,Aliris,B,3,1,C10,18,T06-19,P025,P074,T06-17,P048,P022,10,18
T06,2026-06-06,Tallink,Aliris,A,3,1,C2,18,T06-01,P041,P010,T06-06,P023,P059,16,18
T06,2026-06-06,Tallink,Aliris,A,3,1,C3,18,T06-03,P001,P042,T06-08,P014,P073,6,18
T06,2026-06-06,Tallink,Aliris,A,3,1,C4,18,T06-05,P002,P018,T06-10,P028,P021,15,18
T06,2026-06-06,Tallink,Aliris,A,3,1,C5,18,T06-07,P036,P030,T06-12,P038,P004,18,12
T06,2026-06-06,Tallink,Aliris,A,3,1,C6,18,T06-09,P043,P044,T06-02,P019,P020,18,14
T06,2026-06-06,Tallink,Aliris,B,3,1,C7,18,T06-13,P005,P040,T06-18,P075,P013,18,10
T06,2026-06-06,Tallink,Aliris,B,3,1,C8,18,T06-16,P003,P056,T06-20,P045,P066,15,18
T06,2026-06-06,Tallink,Aliris,B,3,1,C9,18,T06-14,P065,P047,T06-15,P037,P007,18,15
T06,2026-06-06,Tallink,Aliris,A,4,1,C1,18,T06-11,P009,P012,T06-06,P023,P059,16,18
T06,2026-06-06,Tallink,Aliris,B,4,1,C10,18,T06-19,P025,P074,T06-15,P037,P007,12,18
T06,2026-06-06,Tallink,Aliris,A,4,1,C2,18,T06-01,P041,P010,T06-08,P014,P073,18,15
T06,2026-06-06,Tallink,Aliris,A,4,1,C3,18,T06-03,P001,P042,T06-10,P028,P021,13,18
T06,2026-06-06,Tallink,Aliris,A,4,1,C4,18,T06-05,P002,P018,T06-12,P038,P004,18,8
T06,2026-06-06,Tallink,Aliris,A,4,1,C5,18,T06-07,P036,P030,T06-02,P019,P020,18,13
T06,2026-06-06,Tallink,Aliris,A,4,1,C6,18,T06-09,P043,P044,T06-04,P016,P039,18,17
T06,2026-06-06,Tallink,Aliris,B,4,1,C7,18,T06-13,P005,P040,T06-17,P048,P022,14,18
T06,2026-06-06,Tallink,Aliris,B,4,1,C8,18,T06-14,P065,P047,T06-20,P045,P066,18,16
T06,2026-06-06,Tallink,Aliris,B,4,1,C9,18,T06-16,P003,P056,T06-18,P075,P013,18,15
T06,2026-06-06,Tallink,Aliris,A,5,1,C1,18,T06-11,P009,P012,T06-08,P014,P073,16,18
T06,2026-06-06,Tallink,Aliris,B,5,1,C10,18,T06-19,P025,P074,T06-20,P045,P066,18,17
T06,2026-06-06,Tallink,Aliris,A,5,1,C2,18,T06-01,P041,P010,T06-10,P028,P021,14,18
T06,2026-06-06,Tallink,Aliris,A,5,1,C3,18,T06-03,P001,P042,T06-12,P038,P004,18,9
T06,2026-06-06,Tallink,Aliris,A,5,1,C4,18,T06-05,P002,P018,T06-02,P019,P020,18,7
T06,2026-06-06,Tallink,Aliris,A,5,1,C5,18,T06-07,P036,P030,T06-04,P016,P039,7,18
T06,2026-06-06,Tallink,Aliris,A,5,1,C6,18,T06-09,P043,P044,T06-06,P023,P059,15,18
T06,2026-06-06,Tallink,Aliris,B,5,1,C7,18,T06-13,P005,P040,T06-16,P003,P056,18,8
T06,2026-06-06,Tallink,Aliris,B,5,1,C8,18,T06-15,P037,P007,T06-17,P048,P022,18,17
T06,2026-06-06,Tallink,Aliris,B,5,1,C9,18,T06-18,P075,P013,T06-14,P065,P047,7,18
T06,2026-06-06,Tallink,Aliris,A,6,1,C1,18,T06-11,P009,P012,T06-10,P028,P021,14,18
T06,2026-06-06,Tallink,Aliris,B,6,1,C10,18,T06-19,P025,P074,T06-18,P075,P013,18,6
T06,2026-06-06,Tallink,Aliris,A,6,1,C2,18,T06-01,P041,P010,T06-12,P038,P004,10,18
T06,2026-06-06,Tallink,Aliris,A,6,1,C3,18,T06-03,P001,P042,T06-02,P019,P020,18,17
T06,2026-06-06,Tallink,Aliris,A,6,1,C4,18,T06-05,P002,P018,T06-04,P016,P039,18,12
T06,2026-06-06,Tallink,Aliris,A,6,1,C5,18,T06-07,P036,P030,T06-06,P023,P059,14,18
T06,2026-06-06,Tallink,Aliris,A,6,1,C6,18,T06-09,P043,P044,T06-08,P014,P073,18,16
T06,2026-06-06,Tallink,Aliris,B,6,1,C7,18,T06-13,P005,P040,T06-15,P037,P007,18,15
T06,2026-06-06,Tallink,Aliris,B,6,1,C8,18,T06-16,P003,P056,T06-14,P065,P047,13,18
T06,2026-06-06,Tallink,Aliris,B,6,1,C9,18,T06-17,P048,P022,T06-20,P045,P066,12,18
T06,2026-06-06,Tallink,Aliris,A,7,1,C1,18,T06-10,P028,P021,T06-12,P038,P004,16,18
T06,2026-06-06,Tallink,Aliris,B,7,1,C10,18,T06-17,P048,P022,T06-18,P075,P013,18,16
T06,2026-06-06,Tallink,Aliris,A,7,1,C2,18,T06-01,P041,P010,T06-03,P001,P042,14,18
T06,2026-06-06,Tallink,Aliris,A,7,1,C3,18,T06-02,P019,P020,T06-04,P016,P039,18,10
T06,2026-06-06,Tallink,Aliris,A,7,1,C4,18,T06-05,P002,P018,T06-07,P036,P030,18,13
T06,2026-06-06,Tallink,Aliris,A,7,1,C5,18,T06-06,P023,P059,T06-08,P014,P073,17,18
T06,2026-06-06,Tallink,Aliris,A,7,1,C6,18,T06-09,P043,P044,T06-11,P009,P012,16,18
T06,2026-06-06,Tallink,Aliris,B,7,1,C7,18,T06-13,P005,P040,T06-14,P065,P047,13,18
T06,2026-06-06,Tallink,Aliris,B,7,1,C8,18,T06-15,P037,P007,T06-20,P045,P066,18,11
T06,2026-06-06,Tallink,Aliris,B,7,1,C9,18,T06-16,P003,P056,T06-19,P025,P074,17,18
T06,2026-06-06,Tallink,Aliris,A,8,1,C1,18,T06-08,P014,P073,T06-12,P038,P004,18,16
T06,2026-06-06,Tallink,Aliris,B,8,1,C10,18,T06-16,P003,P056,T06-17,P048,P022,18,16
T06,2026-06-06,Tallink,Aliris,A,8,1,C2,18,T06-01,P041,P010,T06-05,P002,P018,16,18
T06,2026-06-06,Tallink,Aliris,A,8,1,C3,18,T06-02,P019,P020,T06-06,P023,P059,17,18
T06,2026-06-06,Tallink,Aliris,A,8,1,C4,18,T06-03,P001,P042,T06-09,P043,P044,18,16
T06,2026-06-06,Tallink,Aliris,A,8,1,C5,18,T06-04,P016,P039,T06-10,P028,P021,11,18
T06,2026-06-06,Tallink,Aliris,A,8,1,C6,18,T06-07,P036,P030,T06-11,P009,P012,18,13
T06,2026-06-06,Tallink,Aliris,B,8,1,C7,18,T06-13,P005,P040,T06-20,P045,P066,18,11
T06,2026-06-06,Tallink,Aliris,B,8,1,C8,18,T06-14,P065,P047,T06-19,P025,P074,11,18
T06,2026-06-06,Tallink,Aliris,B,8,1,C9,18,T06-15,P037,P007,T06-18,P075,P013,18,8
T06,2026-06-06,Tallink,Aliris,A,9,1,C1,18,T06-06,P023,P059,T06-10,P028,P021,18,12
T06,2026-06-06,Tallink,Aliris,B,9,1,C10,18,T06-15,P037,P007,T06-16,P003,P056,18,15
T06,2026-06-06,Tallink,Aliris,A,9,1,C2,18,T06-01,P041,P010,T06-07,P036,P030,18,12
T06,2026-06-06,Tallink,Aliris,A,9,1,C3,18,T06-02,P019,P020,T06-08,P014,P073,18,14
T06,2026-06-06,Tallink,Aliris,A,9,1,C4,18,T06-03,P001,P042,T06-11,P009,P012,18,8
T06,2026-06-06,Tallink,Aliris,A,9,1,C5,18,T06-04,P016,P039,T06-12,P038,P004,18,14
T06,2026-06-06,Tallink,Aliris,A,9,1,C6,18,T06-05,P002,P018,T06-09,P043,P044,18,11
T06,2026-06-06,Tallink,Aliris,B,9,1,C7,18,T06-13,P005,P040,T06-19,P025,P074,17,18
T06,2026-06-06,Tallink,Aliris,B,9,1,C8,18,T06-20,P045,P066,T06-18,P075,P013,18,8
T06,2026-06-06,Tallink,Aliris,B,9,1,C9,18,T06-14,P065,P047,T06-17,P048,P022,5,18
T06,2026-06-06,Tallink,Aliris,A,10,1,C1,18,T06-06,P023,P059,T06-12,P038,P004,18,10
T06,2026-06-06,Tallink,Aliris,B,10,1,C10,18,T06-14,P065,P047,T06-15,P037,P007,11,18
T06,2026-06-06,Tallink,Aliris,A,10,1,C2,18,T06-01,P041,P010,T06-09,P043,P044,13,18
T06,2026-06-06,Tallink,Aliris,A,10,1,C3,18,T06-02,P019,P020,T06-10,P028,P021,15,18
T06,2026-06-06,Tallink,Aliris,A,10,1,C4,18,T06-03,P001,P042,T06-07,P036,P030,18,14
T06,2026-06-06,Tallink,Aliris,A,10,1,C5,18,T06-04,P016,P039,T06-08,P014,P073,18,12
T06,2026-06-06,Tallink,Aliris,A,10,1,C6,18,T06-05,P002,P018,T06-11,P009,P012,18,16
T06,2026-06-06,Tallink,Aliris,B,10,1,C7,18,T06-13,P005,P040,T06-18,P075,P013,18,13
T06,2026-06-06,Tallink,Aliris,B,10,1,C8,18,T06-17,P048,P022,T06-19,P025,P074,7,18
T06,2026-06-06,Tallink,Aliris,B,10,1,C9,18,T06-16,P003,P056,T06-20,P045,P066,10,18
T06,2026-06-06,Tallink,Aliris,A,11,1,C1,18,T06-08,P014,P073,T06-10,P028,P021,12,18
T06,2026-06-06,Tallink,Aliris,B,11,1,C10,18,T06-14,P065,P047,T06-20,P045,P066,13,18
T06,2026-06-06,Tallink,Aliris,A,11,1,C2,18,T06-01,P041,P010,T06-11,P009,P012,18,5
T06,2026-06-06,Tallink,Aliris,A,11,1,C3,18,T06-02,P019,P020,T06-12,P038,P004,18,15
T06,2026-06-06,Tallink,Aliris,A,11,1,C4,18,T06-03,P001,P042,T06-05,P002,P018,18,6
T06,2026-06-06,Tallink,Aliris,A,11,1,C5,18,T06-04,P016,P039,T06-06,P023,P059,18,16
T06,2026-06-06,Tallink,Aliris,A,11,1,C6,18,T06-07,P036,P030,T06-09,P043,P044,18,14
T06,2026-06-06,Tallink,Aliris,B,11,1,C7,18,T06-13,P005,P040,T06-17,P048,P022,18,13
T06,2026-06-06,Tallink,Aliris,B,11,1,C8,18,T06-16,P003,P056,T06-18,P075,P013,18,16
T06,2026-06-06,Tallink,Aliris,B,11,1,C9,18,T06-15,P037,P007,T06-19,P025,P074,18,16
T07,2026-06-13,Tallink,Aliris,,1,1,C2,18,T07-01,P019,P020,T07-02,P037,P052,18,17
T07,2026-06-13,Tallink,Aliris,,1,1,C3,18,T07-03,P077,P004,T07-04,P059,P014,13,18
T07,2026-06-13,Tallink,Aliris,,1,1,C4,18,T07-05,P006,P078,T07-06,P047,P036,9,18
T07,2026-06-13,Tallink,Aliris,,1,1,C5,18,T07-07,P001,P012,T07-08,P005,P040,18,13
T07,2026-06-13,Tallink,Aliris,,1,1,C6,18,T07-09,P016,P079,T07-10,P022,P017,18,15
T07,2026-06-13,Tallink,Aliris,,1,1,C7,18,T07-11,P074,P080,T07-12,P051,P076,12,18
T07,2026-06-13,Tallink,Aliris,,1,1,C8,18,T07-13,P032,P007,T07-14,P055,P046,18,10
T07,2026-06-13,Tallink,Aliris,,2,1,C2,18,T07-01,P019,P020,T07-04,P059,P014,18,11
T07,2026-06-13,Tallink,Aliris,,2,1,C3,18,T07-03,P077,P004,T07-06,P047,P036,18,8
T07,2026-06-13,Tallink,Aliris,,2,1,C4,18,T07-05,P006,P078,T07-08,P005,P040,8,18
T07,2026-06-13,Tallink,Aliris,,2,1,C5,18,T07-07,P001,P012,T07-10,P022,P017,18,6
T07,2026-06-13,Tallink,Aliris,,2,1,C6,18,T07-09,P016,P079,T07-14,P055,P046,18,9
T07,2026-06-13,Tallink,Aliris,,2,1,C7,18,T07-11,P074,P080,T07-02,P037,P052,7,18
T07,2026-06-13,Tallink,Aliris,,2,1,C8,18,T07-12,P051,P076,T07-13,P032,P007,18,14
T07,2026-06-13,Tallink,Aliris,,3,1,C2,18,T07-01,P019,P020,T07-06,P047,P036,18,10
T07,2026-06-13,Tallink,Aliris,,3,1,C3,18,T07-03,P077,P004,T07-08,P005,P040,18,8
T07,2026-06-13,Tallink,Aliris,,3,1,C4,18,T07-05,P006,P078,T07-10,P022,P017,18,16
T07,2026-06-13,Tallink,Aliris,,3,1,C5,18,T07-07,P001,P012,T07-12,P051,P076,18,6
T07,2026-06-13,Tallink,Aliris,,3,1,C6,18,T07-09,P016,P079,T07-02,P037,P052,7,18
T07,2026-06-13,Tallink,Aliris,,3,1,C7,18,T07-11,P074,P080,T07-04,P059,P014,11,18
T07,2026-06-13,Tallink,Aliris,,3,1,C8,18,T07-13,P032,P007,T07-14,P055,P046,18,12
T07,2026-06-13,Tallink,Aliris,,4,1,C2,18,T07-01,P019,P020,T07-08,P005,P040,18,9
T07,2026-06-13,Tallink,Aliris,,4,1,C3,18,T07-03,P077,P004,T07-10,P022,P017,18,12
T07,2026-06-13,Tallink,Aliris,,4,1,C4,18,T07-05,P006,P078,T07-13,P032,P007,14,18
T07,2026-06-13,Tallink,Aliris,,4,1,C5,18,T07-07,P001,P012,T07-02,P037,P052,18,10
T07,2026-06-13,Tallink,Aliris,,4,1,C6,18,T07-09,P016,P079,T07-04,P059,P014,18,13
T07,2026-06-13,Tallink,Aliris,,4,1,C7,18,T07-11,P074,P080,T07-14,P055,P046,18,9
T07,2026-06-13,Tallink,Aliris,,4,1,C8,18,T07-06,P047,P036,T07-12,P051,P076,18,15
T07,2026-06-13,Tallink,Aliris,,5,1,C2,18,T07-01,P019,P020,T07-10,P022,P017,18,6
T07,2026-06-13,Tallink,Aliris,,5,1,C3,18,T07-03,P077,P004,T07-12,P051,P076,18,15
T07,2026-06-13,Tallink,Aliris,,5,1,C4,18,T07-05,P006,P078,T07-02,P037,P052,14,18
T07,2026-06-13,Tallink,Aliris,,5,1,C5,18,T07-07,P001,P012,T07-04,P059,P014,18,9
T07,2026-06-13,Tallink,Aliris,,5,1,C6,18,T07-09,P016,P079,T07-06,P047,P036,18,9
T07,2026-06-13,Tallink,Aliris,,5,1,C7,18,T07-11,P074,P080,T07-14,P055,P046,18,13
T07,2026-06-13,Tallink,Aliris,,5,1,C8,18,T07-08,P005,P040,T07-13,P032,P007,17,18
T07,2026-06-13,Tallink,Aliris,,6,1,C2,18,T07-01,P019,P020,T07-12,P051,P076,18,16
T07,2026-06-13,Tallink,Aliris,,6,1,C3,18,T07-03,P077,P004,T07-02,P037,P052,18,13
T07,2026-06-13,Tallink,Aliris,,6,1,C4,18,T07-05,P006,P078,T07-04,P059,P014,17,18
T07,2026-06-13,Tallink,Aliris,,6,1,C5,18,T07-07,P001,P012,T07-06,P047,P036,16,18
T07,2026-06-13,Tallink,Aliris,,6,1,C6,18,T07-09,P016,P079,T07-08,P005,P040,8,18
T07,2026-06-13,Tallink,Aliris,,6,1,C7,18,T07-11,P074,P080,T07-13,P032,P007,10,18
T07,2026-06-13,Tallink,Aliris,,6,1,C8,18,T07-10,P022,P017,T07-14,P055,P046,18,6
T07,2026-06-13,Tallink,Aliris,,7,1,C2,18,T07-01,P019,P020,T07-03,P077,P004,18,10
T07,2026-06-13,Tallink,Aliris,,7,1,C3,18,T07-02,P037,P052,T07-04,P059,P014,18,8
T07,2026-06-13,Tallink,Aliris,,7,1,C4,18,T07-05,P006,P078,T07-07,P001,P012,10,18
T07,2026-06-13,Tallink,Aliris,,7,1,C5,18,T07-06,P047,P036,T07-08,P005,P040,18,14
T07,2026-06-13,Tallink,Aliris,,7,1,C6,18,T07-09,P016,P079,T07-11,P074,P080,18,7
T07,2026-06-13,Tallink,Aliris,,7,1,C7,18,T07-10,P022,P017,T07-13,P032,P007,12,18
T07,2026-06-13,Tallink,Aliris,,7,1,C8,18,T07-12,P051,P076,T07-14,P055,P046,18,13
T07,2026-06-13,Tallink,Aliris,,8,1,C2,18,T07-01,P019,P020,T07-05,P006,P078,18,11
T07,2026-06-13,Tallink,Aliris,,8,1,C3,18,T07-02,P037,P052,T07-06,P047,P036,18,12
T07,2026-06-13,Tallink,Aliris,,8,1,C4,18,T07-03,P077,P004,T07-09,P016,P079,18,8
T07,2026-06-13,Tallink,Aliris,,8,1,C5,18,T07-04,P059,P014,T07-10,P022,P017,18,7
T07,2026-06-13,Tallink,Aliris,,8,1,C6,18,T07-07,P001,P012,T07-11,P074,P080,18,6
T07,2026-06-13,Tallink,Aliris,,8,1,C7,18,T07-08,P005,P040,T07-14,P055,P046,18,8
T07,2026-06-13,Tallink,Aliris,,8,1,C8,18,T07-12,P051,P076,T07-13,P032,P007,18,10
T07,2026-06-13,Tallink,Aliris,,9,1,C2,18,T07-01,P019,P020,T07-07,P001,P012,18,15
T07,2026-06-13,Tallink,Aliris,,9,1,C3,18,T07-02,P037,P052,T07-08,P005,P040,18,13
T07,2026-06-13,Tallink,Aliris,,9,1,C4,18,T07-03,P077,P004,T07-11,P074,P080,18,8
T07,2026-06-13,Tallink,Aliris,,9,1,C5,18,T07-04,P059,P014,T07-12,P051,P076,18,7
T07,2026-06-13,Tallink,Aliris,,9,1,C6,18,T07-05,P006,P078,T07-09,P016,P079,18,5
T07,2026-06-13,Tallink,Aliris,,9,1,C7,18,T07-06,P047,P036,T07-14,P055,P046,18,7
T07,2026-06-13,Tallink,Aliris,,9,1,C8,18,T07-10,P022,P017,T07-13,P032,P007,17,18
T07,2026-06-13,Tallink,Aliris,,10,1,C2,18,T07-01,P019,P020,T07-09,P016,P079,18,7
T07,2026-06-13,Tallink,Aliris,,10,1,C3,18,T07-02,P037,P052,T07-10,P022,P017,18,7
T07,2026-06-13,Tallink,Aliris,,10,1,C4,18,T07-03,P077,P004,T07-07,P001,P012,11,18
T07,2026-06-13,Tallink,Aliris,,10,1,C5,18,T07-04,P059,P014,T07-08,P005,P040,18,13
T07,2026-06-13,Tallink,Aliris,,10,1,C6,18,T07-06,P047,P036,T07-13,P032,P007,18,16
T07,2026-06-13,Tallink,Aliris,,10,1,C7,18,T07-05,P006,P078,T07-11,P074,P080,18,15
T07,2026-06-13,Tallink,Aliris,,10,1,C8,18,T07-12,P051,P076,T07-14,P055,P046,18,13
T07,2026-06-13,Tallink,Aliris,,11,1,C2,18,T07-01,P019,P020,T07-11,P074,P080,18,4
T07,2026-06-13,Tallink,Aliris,,11,1,C3,18,T07-02,P037,P052,T07-12,P051,P076,18,15
T07,2026-06-13,Tallink,Aliris,,11,1,C4,18,T07-03,P077,P004,T07-05,P006,P078,18,13
T07,2026-06-13,Tallink,Aliris,,11,1,C5,18,T07-04,P059,P014,T07-06,P047,P036,18,12
T07,2026-06-13,Tallink,Aliris,,11,1,C6,18,T07-07,P001,P012,T07-14,P055,P046,18,10
T07,2026-06-13,Tallink,Aliris,,11,1,C7,18,T07-08,P005,P040,T07-10,P022,P017,18,6
T07,2026-06-13,Tallink,Aliris,,11,1,C8,18,T07-09,P016,P079,T07-13,P032,P007,18,14
T08,2026-06-20,Tallink,Aliris,,1,1,C1,18,T08-01,P019,P020,T08-02,P085,P081,7,18
T08,2026-06-20,Tallink,Aliris,,1,1,C2,18,T08-03,P040,P003,T08-04,P001,P014,12,18
T08,2026-06-20,Tallink,Aliris,,1,1,C3,18,T08-07,P084,P012,T08-06,P024,P083,3,18
T08,2026-06-20,Tallink,Aliris,,1,1,C4,18,T08-05,P044,P082,T08-08,P008,P034,11,12
T08,2026-06-20,Tallink,Aliris,,1,1,C5,18,T08-09,P037,P007,T08-10,P074,P075,17,18
T08,2026-06-20,Tallink,Aliris,,2,1,C1,18,T08-01,P019,P020,T08-04,P001,P014,13,18
T08,2026-06-20,Tallink,Aliris,,2,1,C2,18,T08-03,P040,P003,T08-06,P024,P083,14,18
T08,2026-06-20,Tallink,Aliris,,2,1,C3,18,T08-05,P044,P082,T08-08,P008,P034,17,9
T08,2026-06-20,Tallink,Aliris,,2,1,C4,18,T08-07,P084,P012,T08-10,P074,P075,18,5
T08,2026-06-20,Tallink,Aliris,,2,1,C5,18,T08-09,P037,P007,T08-02,P085,P081,15,18
T08,2026-06-20,Tallink,Aliris,,3,1,C1,18,T08-01,P019,P020,T08-06,P024,P083,11,18
